TotalGHGEmissions,NaturalGas(kBtu),SiteEnergyUse(kBtu),SiteEUIWN(kBtu/sf),Electricity(kBtu),PropertyGFABuilding(s),LargestPropertyUseTypeGFA,PropertyGFATotal,SourceEUIWN(kBtu/sf),PropertyGFAParking
183.3,0.5555886427574778,0.4531919243430916,0.638962746607123,0.30163456325700844,0.2757568122496896,0.27231242806076383,0.24386585756049492,0.5781780543467079,0.3853924781103174
43.7,0.13565654114492445,0.22577131828294403,0.2717327710441029,0.25578130128307996,0.34540886502801954,0.37933078439368545,0.2604042006446851,0.3130627230932816,0.0
109.4,0.3618400816020744,0.3162590265669122,0.417349204632346,0.22948977160020753,0.3091797182231929,0.34420857247245995,0.22833726581195657,0.387317505788264,0.0
32.5,0.0,0.4576319274700773,0.624380323312853,0.6548188169155864,0.2893195779451845,0.32497192802855734,0.35541317449339704,0.6931471805599453,0.6931471805599453
12.7,0.0,0.20578087422489247,0.3010417996417124,0.3087063417346513,0.2746148937026527,0.31073667509985436,0.19786955057638939,0.40838008992932645,0.0
211.49400000000009,0.6931471805599452,0.6395038848203197,0.4747392339915697,0.34099122310581303,0.5758120894862557,0.6336527186280485,0.4672678702229123,0.3887844269842762,0.0
17.7,0.03825311003969097,0.1589201718995277,0.23572233352106986,0.2212060985511328,0.27074874774776925,0.306995065051406,0.1944694784163388,0.3031313658920361,0.0
99.4,0.3309292039392887,0.303506028146998,0.3033809819948846,0.23151411162734922,0.4254727615275755,0.4570821759859058,0.3317315020467016,0.28581526455603556,0.0
31.2,0.0,0.440645716775411,0.6931471805599452,0.6351395422706952,0.253322407430757,0.2521875828053437,0.17916369389138753,0.6931471805599453,0.0
185.8,0.564397984968311,0.4403081354874769,0.3310325133253947,0.27877204165762853,0.5763718411342521,0.6073190691602705,0.46777617906345065,0.28622138891689525,0.0
211.49400000000009,0.6931471805599452,0.6931471805599453,0.381264638811728,0.4718628511704851,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3110843265313953,0.0
2.7,0.0,0.04606178050450792,0.055398779389788225,0.07369669491798705,0.30357264883880847,0.3387763198320608,0.223386368075776,0.07846957544324963,0.0
