DataYear,BuildingType,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,NumberofBuildings,CouncilDistrictCode_bins
2019,Multifamily LR (1-4),47.57927,-122.29548,SOUTHEAST,2,1960,4,21200.0,21200.0,0.0,98.0,19.8,19.8,419938.0,419020.0,55.5,55.3,21200.0,122808.0,0.0,0.0,419020.0,0.0,2.6,0.1,1,Muito_Pequena
2019,Multifamily LR (1-4),47.57854,-122.29488,SOUTHEAST,2,1960,4,20365.0,20365.0,0.0,73.20295,25.3,25.0,515110.0,509359.0,70.8,70.0,20365.0,149285.0,0.0,0.0,509359.0,0.0,3.1,0.2,1,Muito_Pequena
2019,Multifamily MR (5-9),47.6557,-122.31244,NORTHEAST,4,1925,8,97923.0,97923.0,0.0,20.0,96.0,95.88600000000007,9141320.220000016,8998438.580000002,147.6,145.4,97923.0,380530.0,8754726.0,654.0,1298370.0,65351.0,211.49400000000006,4.9,1,Média
2019,NonResidential,47.59705,-122.32813,DOWNTOWN,1,2000,10,206126.0,164437.0,0.0,87.0,49.6,49.6,9141320.220000016,8998438.580000002,138.9,138.9,156766.0,1571232.56,0.0,0.0,5708139.680000001,0.0,82.0,0.3,1,Muito_Pequena
2019,NonResidential,47.59706,-122.32813,DOWNTOWN,1,2000,10,68452.0,68452.0,0.0,72.0,54.9,54.3,3756459.0,3719330.0,153.7,152.1,61665.0,1090073.0,0.0,0.0,3719329.0,0.0,22.9,0.3,1,Muito_Pequena
2019,NonResidential,47.59634,-122.32807,DOWNTOWN,2,2000,10,206126.0,164437.0,0.0,74.0,45.4,45.4,9141320.220000016,8998438.580000002,127.0,127.0,156766.0,1571232.56,0.0,0.0,5708139.680000001,0.0,78.7,0.3,1,Muito_Pequena
2019,NonResidential,47.66364,-122.27341,NORTHEAST,1,1924,3,97500.0,97500.0,0.0,79.0,39.6,38.5,5109605.0,4970974.0,58.5,57.2,129000.0,361251.0,0.0,37384.0,1232589.0,3738385.0,206.1,2.1,1,Muito_Pequena
2019,Multifamily LR (1-4),47.5596,-122.38459,SOUTHWEST,1,1987,3,79052.0,55052.0,22225.0,99.0,25.3,25.3,2000175.0,2001778.0,70.8,70.9,79052.0,586688.0,0.0,0.0,2001778.0,0.0,12.3,0.2,1,Muito_Pequena
2019,Multifamily MR (5-9),47.62377,-122.3212,EAST,3,2009,6,206126.0,164437.0,22225.0,83.0,36.6,36.2,8206156.0,8116200.0,90.7,89.9,156766.0,1571232.56,0.0,14622.0,5708139.680000001,1462157.0,118.7,0.4,1,Pequena
2019,Multifamily LR (1-4),47.61392,-122.31718,EAST,3,2007,3,32881.0,32881.0,0.0,73.20295,96.0,95.88600000000007,3595184.0,3578057.0,178.9,178.2,20680.0,395958.0,0.0,22270.0,1351009.0,2227048.0,126.6,3.9,1,Pequena
2019,Multifamily MR (5-9),47.65463,-122.34204,LAKE UNION,1,2012,6,198233.0,136651.0,22225.0,89.0,38.433334,31.3,5425236.333333333,2884008.0,81.166664,78.3,92208.0,702017.0,0.0,4887.0,2395283.0,488724.0,40.7,0.3,1,Muito_Pequena
2019,Multifamily MR (5-9),47.58012,-122.38548,SOUTHWEST,1,2011,5,63597.0,54950.0,8647.0,99.0,20.7,27.8,1349249.0,1811771.0,58.0,65.3,65115.0,393147.0,0.0,0.0,1341417.0,0.0,8.3,0.2,1,Muito_Pequena
2019,NonResidential,47.60805,-122.33978,DOWNTOWN,1,1985,10,50147.0,50147.0,0.0,73.20295,96.0,95.88600000000007,8990365.0,8998438.580000002,188.28000000000011,188.44000000000005,26554.0,1289273.0,3815954.0,8010.0,4398999.0,800975.0,211.49400000000006,5.4,1,Muito_Pequena
2019,Multifamily MR (5-9),47.61103,-122.33238,DOWNTOWN,7,1925,5,37804.0,37804.0,0.0,66.0,69.7,68.5,2634728.0,2589313.0,96.7,95.3,37804.0,147920.0,0.0,20846.0,504703.0,2084610.0,113.8,3.0,1,Muito_Grande
2019,Nonresidential COS,47.71986,-122.29809,NORTH,5,1965,1,24697.0,24697.0,0.0,73.20295,76.3,76.2,1526524.0,1525462.0,145.3,145.3,15300.0,218814.0,0.0,7789.0,746593.0,778868.0,46.0,1.9,1,Grande
2019,Multifamily MR (5-9),47.61896,-122.33078,LAKE UNION,7,2000,6,79684.0,79684.0,0.0,87.0,40.4,40.0,3243478.0,3208398.0,94.7,94.0,75232.0,699256.0,0.0,8225.0,2385861.0,822537.0,58.4,0.7,1,Muito_Grande
2019,Multifamily LR (1-4),47.64886,-122.35862,MAGNOLIA / QUEEN ANNE,7,2004,4,22625.0,22625.0,0.0,90.0,45.7,44.9,1033164.0,1016982.0,89.4,88.1,22625.0,155109.0,0.0,4877.0,529232.0,487750.0,29.2,1.3,1,Muito_Grande
2019,NonResidential,47.6087,-122.33884,DOWNTOWN,1,1991,3,103000.0,103000.0,0.0,49.0,77.4,77.7,7430434.0,7456509.0,188.28000000000011,188.44000000000005,96018.0,1571232.56,0.0,10865.0,5708139.680000001,1086500.0,97.0,0.9,1,Muito_Pequena
2019,NonResidential,47.62473,-122.34727,MAGNOLIA / QUEEN ANNE,7,2006,4,45980.0,45980.0,0.0,88.0,96.0,95.88600000000007,6971941.0,6924903.0,188.28000000000011,188.44000000000005,45980.0,1379069.0,0.0,22195.0,4705383.0,2219521.0,146.9,3.2,1,Muito_Grande
2019,Multifamily MR (5-9),47.65201,-122.3891,MAGNOLIA / QUEEN ANNE,7,1970,5,34728.0,34728.0,0.0,46.0,31.3,31.0,1087920.0,1076414.0,87.7,86.8,34728.0,315479.0,0.0,0.0,1076414.0,0.0,6.6,0.2,1,Muito_Grande
2019,Multifamily MR (5-9),47.652,-122.38949,MAGNOLIA / QUEEN ANNE,7,1970,5,34480.0,34480.0,0.0,71.0,24.9,24.6,857812.0,847570.0,69.7,68.8,34480.0,248409.0,0.0,0.0,847570.0,0.0,5.2,0.2,1,Muito_Grande
2019,NonResidential,47.61318,-122.32122,EAST,1,1996,3,45243.0,45243.0,0.0,36.0,96.0,95.88600000000007,5593164.0,5644948.0,188.28000000000011,188.44000000000005,45243.0,1048582.0,0.0,20672.0,3577762.0,2067188.0,131.8,2.9,1,Muito_Pequena
2019,Multifamily LR (1-4),47.72664,-122.34823,NORTHWEST,1,1984,4,56800.0,56800.0,0.0,76.0,34.2,34.5,1941769.0,1957554.0,77.9,78.5,56800.0,402292.0,0.0,5849.0,1372621.0,584933.0,39.5,0.7,1,Muito_Pequena
